source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,,2019-08-18 12:00:11,Own your debt. Don't let it own YOU.,15,15,,,,,,2,1168496793338353,/story.php?story_fbid=1168496793338353&id=460639650790741
Seedly,,2019-08-17 12:00:00,"If you find the CPF Scheme to be too complicated, we're here to help break it down for you!  Did you know, you can invest using your CPF? Here's how you can do it:",24,24,,,,,,1,1167912943396738,/story.php?story_fbid=1167912943396738&id=460639650790741
Seedly,,2019-08-16 18:56:32,Take note of the early bird promos to get the best deals! FYI: they're ending soon! 😲,10,10,,,,,,1,1167460440108655,/story.php?story_fbid=1167460440108655&id=460639650790741
Seedly,,2019-08-16 17:44:03,Diamond engagement rings are so expensive!  What are some of the alternatives we can look at?,18,17,1,,,,,6,1167424566778909,/story.php?story_fbid=1167424566778909&id=460639650790741
Seedly,,2019-08-16 16:03:08,Introducing the Battle of the Sexes in the game of Insurance!  Who pays more?!,6,6,,,,,,1,1167377006783665,/story.php?story_fbid=1167377006783665&id=460639650790741
Seedly,,2019-08-16 12:03:13,"There's no such thing as a ""Magic Formula"" when it comes to investing. ✨",8,8,,,,,,1,1167277843460248,/story.php?story_fbid=1167277843460248&id=460639650790741
Seedly,,2019-08-16 09:41:45,Are you THAT friend? 😅 Find out how much you need to retire: http://bit.ly/2z3QzYd,6,3,3,,,,,1,1167213870133312,/story.php?story_fbid=1167213870133312&id=460639650790741
Seedly,,2019-08-15 18:02:39,"If walking to your office feels like a marathon, your 9 to 5 job may be the cause of your bulging tummy.  For those who'd find it a hassle to exercise, here's a list of affordable fitness classes near your office, so that you'd be able to clog in a fuss-free workout.",7,7,,,,,,2,1166753396846026,/story.php?story_fbid=1166753396846026&id=460639650790741
Seedly,,2019-08-15 13:39:37,Are you on fibre broadband? Then you might want to pay closer attention to this company... 🧐,11,11,,,,,,1,1166634833524549,/story.php?story_fbid=1166634833524549&id=460639650790741
Seedly,,2019-08-14 18:06:55,"Coffee may be delicious, but it can get expensive. Save money while you're at it!",21,20,1,,,,,5,1166066973581335,/story.php?story_fbid=1166066973581335&id=460639650790741
